SkuID,UnitLength,UnitWidth,UnitHeight,UnitWeight,CaseQuantity,CaseLength,CaseWidth,CaseHeight,CaseWeight,,
"16,643RUB",139.7,42,16.6,4990,1,139.7,42,16.6,4990,,
"16,663RUB",77.5,34.3,11.5,4082,1,77.5,34.3,11.5,4082,,
"16,683RUB",44.5,34.3,12.7,1134,2,45.8,25.4,35.6,2268,,
"16,698RUB",34.1,26.7,5.6,440,6,33.1,28,35.6,3157,,
"16,701RUB",44.2,41.5,12.2,1746,3,46.3,43,37.9,6101,,
"16,703RUB",44.2,41.2,12.2,1746,3,42.5,38.1,46.3,6078,,
"16,713RUB",41.7,25.2,4.6,531,6,43,28.8,26.5,3543,,
"16,723RUB",41.7,22.7,9.2,576,6,42.6,23.5,55.6,3765,,
"16,743RUB",141,49.6,16.6,6350,1,141,49.6,16.6,6350,,
"16,763RUB",76.2,42,11.5,4309,1,76.2,42,11.5,4309,,
"16,783RUB",41.2,43.7,12.7,1964,3,42.7,38.1,45.8,6754,,
"16,861RUB",42,34.3,5.6,685,6,35.6,43.2,36.4,6532,,
"16,903RUB",33.8,21.4,8.9,472,6,44,26.7,35.6,3329,,
"16,905RUB",34.1,21.4,8.7,458,6,44,26.7,35.6,2735,,
"17,021RUB",20.4,15.5,17.3,612,6,46,35.4,21.9,4377,,
"17,111RUB",23.7,23.2,7.2,771,3,24.2,22.1,25.2,2517,,
"17,371RUB",36.6,32.6,14,1724,1,36.6,32.6,14,1724,,
"17,601RUB",32.8,22.7,12.7,363,6,37.1,25.7,47.5,3039,,
"17,621RUB",40.7,23.2,12.7,408,6,48.1,25.2,45.3,3334,,
"17,671RUB",31.8,27,12,408,6,34.8,31.3,44.8,3470,,
"17,673RUB",31.8,26.7,12.2,476,6,35.1,31.5,45.5,3765,,
"18,041RUB",48.3,32.8,14,1089,6,43.2,66.1,49.6,11113,,
"18,350RUB",23.7,7.4,4.9,113,12,30.2,26.4,17.8,1692,,
"18,351RUB",23.7,7.7,4.6,113,12,30,26,17.8,2132,,
"18,352RUB",23.7,7.4,4.6,68,12,30.2,17.8,26.4,1692,,
"18,353RUB",23.4,7.7,4.6,45,12,30.2,17.8,26.4,1692,,
"18,521RUB",28.2,7.9,3.1,118,12,29.3,25.2,14.3,1642,,
"18,523RUB",33.6,35.1,11,1996,3,36.1,34.8,35.6,6759,,
"18,525RUB",33.6,35.1,11,1996,3,36.1,34.8,35.6,6759,,
"18,533RUB",35.1,20.1,11.2,635,3,36.1,34.1,22.7,2699,,
"18,535RUB",35.1,20.4,11.2,726,3,36.1,34.1,22.9,2835,,
"18,543RUB",35.4,33.6,11,2132,3,36.1,34.3,35.4,7121,,
"18,545RUB",35.4,33.6,11,2155,3,36.1,34.3,35.4,7189,,
"18,563RUB",43,33.8,11,2291,3,43.7,34.3,35.9,7711,,
"18,565RUB",42.7,33.3,11,2336,3,44,34.1,35.9,7779,,
"18,573RUB",43,20.1,11.2,885,3,45,33.1,23.4,3266,,
"18,575RUB",42.5,21.1,11.5,862,3,43.5,34.3,23.2,3243,,
"18,583RUB",43,33.6,11.5,2404,3,44.5,34.3,35.6,8255,,
"18,585RUB",42.7,33.6,11.2,2291,3,43.7,34.3,35.9,7893,,
"18,595RUB",17.8,5.6,5.6,68,12,23.2,16.6,17.8,1202,,
"18,601RUB",37.4,34.6,13.5,1792,3,43,36.1,39.4,6101,,
"18,603RUB",37.4,34.8,13.5,1837,3,42.2,36.1,39.4,6146,,
"18,663RUB",34.3,26,37.1,3152,1,34.3,26,37.1,3152,,
"18,683RUB",37.4,34.6,13.8,1950,3,42.7,35.6,38.9,6668,,
"18,691RUB",29,4.9,2.3,136,6,32.3,15,6.4,1225,,
"18,703RUB",39.4,42,14,2177,3,43.2,40.7,43.2,6985,,
"18,713RUB",42,38.4,4.9,771,6,43,32.8,40.2,5466,,
"18,803RUB",41.7,27,13,1610,3,42,28.5,44,5534,,
"18,845RUB",110.5,35.6,19.1,10206,1,110.5,35.6,19.1,10206,,
"18,973RUB",36.1,33.6,5.1,862,6,34.3,30.3,37.6,5851,,
"19,131RUB",37.9,24.4,20.9,1157,1,37.9,24.4,20.9,1157,,
"2,314RUB",32.8,24.2,6.7,204,6,27.5,26.2,36.6,2336,,
"2,316RUB",33.1,19.1,7.2,204,6,28.8,26.2,36.9,2245,,
"2,324RUB",12,7.4,3.4,68,24,28.2,22.9,20.4,1361,,
"2,326RUB",12.2,7.2,3.1,159,24,28.5,20.4,21.6,1814,,
"2,334RUB",10,4.4,2.1,23,12,22.7,12.5,10,272,,
"2,336RUB",14.8,6.1,2.1,181,12,22.9,12.5,10.2,1361,,
"2,344RUB",18.1,14.8,12.7,91,6,36.9,25.2,18.8,1406,,
"2,346RUB",15.5,14,9.4,91,6,34.1,28.8,17.6,1429,,
"2,354RUB",20.4,16.1,6.7,340,4,62.3,33.1,20.4,2268,,
"2,356RUB",20.6,16.1,6.7,454,6,63.5,33.1,20.4,2722,,
"2,364RUB",14.3,10.2,9.2,136,4,29.3,20.4,15.5,1111,,
"2,366RUB",19.1,12.7,11.5,113,4,28.2,20.4,14.5,1361,,
"2,374RUB",11.7,9.4,8.9,68,6,28.5,20.1,13.8,1066,,
"2,376RUB",10.2,9.4,8.9,45,6,27.1,18.2,12.1,567,,
"2,384RUB",45.3,28.2,19.1,771,4,45.8,35.6,56.4,2722,,
"2,386RUB",42.5,27.7,18.6,794,4,44,35.1,55.9,4717,,
"2,400RUB",33.3,25.4,18.3,1814,4,69.1,38.7,27.2,1814,,
"2,620,104RUB",61,47.5,0.8,635,6,63.5,45.8,7.7,4899,,
"20,251RUB",19.6,12.7,8.4,408,6,27.1,26.7,21.3,2654,,
"20,935RUB",53.4,38.1,31.8,1814,4,54.7,52.8,38.1,7257,,
"20,938RUB",44.5,33.8,30.3,2563,4,54.7,38.7,52.4,11362,,
"20,945RUB",75,44.8,33.3,3221,4,84.1,52.4,47,14991,,
"22,600RUB",136.4,114.3,1.3,7711,1,136.4,114.3,1.3,7711,,
